cluster_number,cluster_size,mor_hat,se_mor_hat,sigma_b2_hat,beta0_hat,beta1_hat,beta2_hat,coverage,sim_se_mor_hat,relative_bias,problem_perc,runs_used
10,10,688.7509416453846,136.14660038721232,3.3317042619005326,2.1172707086061475,1.8672588463361395,0.7593139866022606,0.926,21471.658826060328,15142.532379482813,0.049,951
30,10,4.85394417310365,1.453085452101904,2.639388133166058,2.054424668658958,1.7852465363602403,0.7038165779168392,0.95,2.1227007736777184,7.4211253344862875,0,1000
50,10,4.742695357871148,1.329142535155753,2.6066887532844865,2.0400880619077726,1.7843846776213999,0.687479986301583,0.94,1.5195671167810731,4.959112485096128,0,1000
10,15,5.3405718195527925,1.9461796410368841,2.730507248169975,2.069927427054096,1.8292658775969608,0.7066171461255254,0.901,5.295426569577592,18.190530077560403,0.008,992
30,15,4.6436323389091765,1.3656366799021389,2.5287729287184333,2.028705023248093,1.7809057489403608,0.6917058632027469,0.925,1.6107025409688278,2.7667796941892404,0,1000
50,15,4.596123278371742,1.270915076302324,2.523830548611871,2.0178460565208574,1.7661082267417583,0.6765562334277733,0.949,1.131536703660834,1.7153714858306683,0,1000
10,30,4.666447271033896,1.5618812482788325,2.4563627064159834,2.0205972703910815,1.7731149214664654,0.7078579834909654,0.876,2.7569498091142877,3.271689844752464,0.001,999
30,30,4.5805743301788775,1.2918441107426073,2.5067466486346883,2.0230821907425414,1.7627859220891942,0.6741135370705313,0.92,1.2333477794088734,1.37126256057759,0,1000
50,30,4.525217440526958,1.2186330837707158,2.482813421446957,2.0180092934359117,1.7574231718641906,0.6576912506126101,0.947,0.91735090491736615,0.14617649255551524,0,1000
10,50,4.556191406465974,1.4894899402070374,2.4172184669144476,2.0238535879683672,1.7773273529866012,0.6866749012433129,0.873,2.2464423873942545,0.8316516769793398,0,1000
30,50,4.504845336352717,1.2611974235321273,2.460437858797177,2.024405471610631,1.7547435154319562,0.6789692475905724,0.929,1.0654010154624445,-0.3046721941587905,0,1000
50,50,4.506434093351431,1.1981197549440925,2.475287513363575,2.0286953664452594,1.750350088019854,0.6598765937043375,0.946,0.7721068051552875,-0.2695119082967044,0,1000
