"cluster_number","cluster_size","mor_hat","se_mor_hat","sigma_b2_hat","beta0_hat","beta1_hat","beta2_hat","coverage","sim_se_mor_hat"
30,5,6.79399793910074,2.15022832712992,3.20008860986681,2.1731489484385,1.86021110029706,0.727865427942873,0.994,26.7941988554505
50,5,5.0632900437587,1.55541549892707,2.77763182522634,2.07449087186222,1.83259085285216,0.742703302821396,0.976,2.30951709085846
100,5,4.56560622164248,1.33120651783916,2.4768134214311,2.02386160858757,1.78929382913231,0.684431782028046,0.921,1.55087914931487
30,10,4.82571914801705,1.45079083544955,2.62161480099393,2.08744180746743,1.84856224482156,0.67132656154683,0.967,2.13847095845641
50,10,4.62319522195988,1.31919127720454,2.50434345836098,2.01242272858854,1.76433438177905,0.629832201947908,0.821,1.73463825440901
100,10,4.5689284124738,1.21698091335333,2.51205368967176,2.00960573315751,1.75802330612771,0.664919983547753,0.606,0.971799302051924
30,15,4.52700678622756,1.36007622744324,2.43652415284453,2.01569191430137,1.77872784667647,0.709936445490428,0.939,1.70643017490586
50,15,4.77027741568862,1.27513318575074,2.63446594536279,1.99804091842753,1.77378936080609,0.707575498792567,0.778,1.40765501702788
100,15,4.48777085174012,1.18268904605894,2.46316992310649,2.026500195185,1.73360544146546,0.666704393700142,0.581,0.728251521989486
30,20,4.46857658414437,1.32353110196953,2.4227269339919,2.04415780374049,1.76420686825757,0.695386834701255,0.913,1.25612039323276
50,20,4.37039347161694,1.23777759393226,2.37053655105235,1.97705077865163,1.74505380377987,0.657942473741627,0.868,0.876170007729319
100,20,4.68572926319818,1.17046577230194,2.60950251549903,2.00943541964885,1.76307183376546,0.704155526376367,0.449,0.68367275326012
30,30,4.68653739933066,1.29057289909895,2.54750123780151,2.07187166290318,1.83843232635013,0.672109567797382,0.827,1.76796920428474
50,30,4.52669277735399,1.21740462640177,2.48087679382265,2.00397403822282,1.765676948123,0.677963042427885,0.723,0.978781438336471
100,30,4.60945698324155,1.15287677517626,2.55569518144528,1.99591786961777,1.74691599660477,0.673625205354512,0.267,0.633231759943723
30,40,4.61278561473248,1.27608055581025,2.52898643973392,1.96875218807322,1.74571707941621,0.689353741255764,0.843,1.25320100769255
50,40,4.44987415877805,1.20361886081487,2.43320627053512,1.99674743196298,1.75873308135787,0.697067354568307,0.715,0.781877049252498
100,40,4.39921674733125,1.13988666027557,2.4052630687875,1.9271794024258,1.72763813181756,0.668791124805586,0.316,0.501679489083272
30,50,4.62143217800931,1.26407782558395,2.53620623245316,2.05379431859967,1.75818195696693,0.640297993479571,0.831,1.23593675760881
50,50,4.40826768955645,1.19470466643655,2.40270436611249,2.02959031256203,1.76146502014757,0.656215892539163,0.736,0.77779719138982
100,50,4.47529023436813,1.13573428138983,2.46225064331963,1.99564171935906,1.76148276536856,0.661265872110624,0.291,0.468034067619935
